Entité;Localisation de la station;Coordonnées;Paramètres mesurés;Source;Unité de mesure;Mesure;Dernière mise à jour;Commune;EPCI;Département;Région
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Grenoble PeriurbSud;45.057827,5.676697;PM10;EEA France;µg/m³;18.1;2017-07-17T20:00:00+02:00;Vif;Métropole Grenoble-Alpes-Métropole;ISERE;AUVERGNE-RHONE-ALPES
AIRAQ;France - AIRAQ - LACQ;43.410538,-0.6169441;SO2;EEA France;µg/m³;0.0;2017-07-18T22:00:00+02:00;Lacq;CC de Lacq-Orthez;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
AIR PAYS DE LOIRE;France - AIR PAYS DE LOIRE - LEON BLUM;47.264107,-2.2498577;PM10;EEA France;µg/m³;18.8;2017-05-25T12:00:00+02:00;Saint-Nazaire;CA de la Région Nazairienne et de l'Estuaire (Carene);LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
AIRPARIF;France - AIRPARIF - LES ULIS;48.67942,2.1655598;O3;EEA France;µg/m³;127.5;2017-07-18T22:00:00+02:00;Les Ulis;CA Communauté Paris-Saclay;ESSONNE;ILE-DE-FRANCE
AIR RHONE ALPES;France - AIR RHONE ALPES - LOVERCHY;45.895256,6.1183357;PM2.5;EEA France;µg/m³;5.5;2017-07-17T20:00:00+02:00;Annecy;CA du Grand Annecy;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
LIG'AIR;France - LIG'AIR - La BruyOre;47.419086,0.6829406;PM10;EEA France;µg/m³;26.95;2017-07-17T20:00:00+02:00;Tours;Tours Métropole Val de Loire;INDRE-ET-LOIRE;CENTRE-VAL DE LOIRE
Hautes-Alpes;France - Hautes-Alpes - FR24038;44.54863,6.067302;NO2;EEA France;µg/m³;7.3;2020-04-28T20:00:00+02:00;Gap;CA Gap-Tallard-Durance;HAUTES-ALPES;PROVENCE-ALPES-COTE D'AZUR
Meurthe-et-Moselle;France - Meurthe-et-Moselle - FR30036;48.696323,6.1461205;PM2.5;EEA France;µg/m³;5.1;2020-04-28T19:00:00+02:00;Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
Pyrénées-Atlantiques;France - Pyrénées-Atlantiques - FR31022;43.409687,-0.67166674;SO2;EEA France;µg/m³;1.1;2020-04-28T19:00:00+02:00;Mont;CC de Lacq-Orthez;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
Drôme;France - Drôme - FR36019;45.04247,5.044301;PM10;EEA France;µg/m³;5.0;2020-04-28T19:00:00+02:00;Romans-sur-Isère;CA Valence Romans Agglo;DROME;AUVERGNE-RHONE-ALPES
Saint-Pierre;France - Saint-Pierre - FR38011;-21.334423,55.459023;O3;EEA France;µg/m³;50.8;2020-04-28T17:00:00+02:00;Saint-Pierre;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Lyon POriphOrique;45.774837,4.8985763;NO2;EEA France;µg/m³;65.25;2017-07-17T20:00:00+02:00;Villeurbanne;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - MARMANDE;44.508667,0.14250335;PM10;EEA France;µg/m³;9.0;2017-05-25T12:00:00+02:00;Marmande;CA Val de Garonne Agglomération;LOT-ET-GARONNE;NOUVELLE-AQUITAINE
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - Mardyck;51.01942,2.2509894;SO2;EEA France;µg/m³;2.38;2017-03-28T18:00:00+02:00;Dunkerque;CU de Dunkerque;NORD;HAUTS-DE-FRANCE
